date,open,high,low,close,adjClose,volume
Mon Jun 12 2023,440,440.950012,433.850006,436.950012,423.120697,8719176
Tue Jun 13 2023,441,446.399994,438.299988,445.399994,431.303223,16111860
Wed Jun 14 2023,446.25,447.75,443.75,444.5,430.431702,8704178
Thu Jun 15 2023,445,448.75,444.75,448.100006,433.917755,7498727
Fri Jun 16 2023,449,455.600006,447.899994,453.100006,438.759521,11729681
Mon Jun 19 2023,454.75,455.899994,452.25,453.600006,439.243713,4189180
Tue Jun 20 2023,454.799988,454.799988,450.149994,452.850006,438.517426,4472119
Wed Jun 21 2023,452,454.200012,445.049988,447.049988,432.90097,6059504
Thu Jun 22 2023,448,449.649994,445.850006,447.649994,433.482025,6637099
Fri Jun 23 2023,447.5,447.649994,442.700012,444.75,430.673798,6090901
Mon Jun 26 2023,446.899994,451.399994,444,445.700012,431.59375,5477339
Tue Jun 27 2023,446.100006,447.200012,443.149994,445.100006,431.012726,4865596
Wed Jun 28 2023,445,450.600006,444.5,449.350006,435.128204,12082753
Fri Jun 30 2023,450,451.950012,446.600006,451.600006,437.306976,9106074
Mon Jul 03 2023,451.600006,465.950012,450.049988,463.25,448.588287,10699143
Tue Jul 04 2023,465,468,459.799988,466.350006,451.590149,7725081
Wed Jul 05 2023,466.350006,480.649994,464.299988,475.100006,460.063232,16252992
Thu Jul 06 2023,477.350006,477.399994,470.5,473.899994,458.901215,9471054
Fri Jul 07 2023,473,475.5,467.600006,468.399994,453.575256,7323451
Mon Jul 10 2023,470,470.899994,463.700012,465.850006,451.106018,6521300
Tue Jul 11 2023,466,474.549988,466,473.149994,458.174927,8457557
Wed Jul 12 2023,477.75,477.75,470.450012,472.299988,457.351807,12340934
Thu Jul 13 2023,473.899994,476.75,471,472,457.06134,7909757
Fri Jul 14 2023,473,475,471.350006,472.899994,457.932861,5081391
Mon Jul 17 2023,474.5,475.799988,470.600006,472.350006,457.400269,6090738
Tue Jul 18 2023,472.549988,474.200012,471,472.5,457.545532,5352283
Wed Jul 19 2023,472.75,480.450012,468.100006,478.850006,463.69455,13867323
Thu Jul 20 2023,479.899994,493.700012,476.299988,492.149994,476.573608,20250206
Fri Jul 21 2023,491.799988,497.700012,487,490.450012,474.927429,13971982
Mon Jul 24 2023,493.450012,499.700012,468.149994,471.350006,456.431915,38976815
Tue Jul 25 2023,467.899994,468.5,455.399994,462.299988,447.668304,43534718
Wed Jul 26 2023,464.899994,473,462.049988,472.25,457.303436,18143422
Thu Jul 27 2023,474.399994,475.149994,461.100006,465.049988,450.331299,13989457
Fri Jul 28 2023,467.700012,469.450012,463.399994,468.450012,453.623688,9978231
Mon Jul 31 2023,469,469.700012,463.5,465.700012,450.960754,8194797
Tue Aug 01 2023,466,468.850006,463.799988,464.799988,450.089203,6438221
Wed Aug 02 2023,464.600006,464.799988,458,460.100006,445.537994,10318220
Thu Aug 03 2023,460.100006,463.75,454.299988,456.049988,441.61615,10617897
Fri Aug 04 2023,456.299988,461.399994,454.25,454.950012,440.550964,6834401
Mon Aug 07 2023,454.100006,456.549988,450.950012,454.899994,440.502533,9161131
Tue Aug 08 2023,457,457,451.049988,452.350006,438.033264,6392488
Wed Aug 09 2023,452.350006,459.899994,446.899994,458.649994,444.133881,9758343
Thu Aug 10 2023,458.899994,459.299988,449,451.75,437.45224,13194170
Fri Aug 11 2023,453.899994,453.899994,444.75,448.75,434.54718,11582326
Mon Aug 14 2023,448.75,451.25,445.049988,449.200012,434.982971,7562808
Wed Aug 16 2023,451,457.399994,448.200012,450.25,435.999725,14920272
Thu Aug 17 2023,450,450,440,441,427.04248,16269569
Fri Aug 18 2023,441,443.350006,438.5,441.649994,427.671906,19324262
Mon Aug 21 2023,442,448.5,441.350006,447.799988,433.627258,9572041
Tue Aug 22 2023,449,455.149994,447,454.25,439.873108,9854945
Wed Aug 23 2023,455.600006,455.649994,448.600006,450.450012,436.19342,8445029
Thu Aug 24 2023,450.600006,453.5,449.299988,450.899994,436.62912,6088274
Fri Aug 25 2023,450.899994,451,442.049988,443.350006,429.318115,9270988
Mon Aug 28 2023,445,446.850006,441,441.399994,427.42981,6910750
Tue Aug 29 2023,442.950012,444,439.200012,440.100006,426.17099,9480003
