timestamp,open,high,low,close,adjusted close,volume,dividend amount
2009-11-13,197.9000,204.9500,185.3000,186.8500,75.9314,80312,0.0000
2009-11-06,190.1000,198.0000,173.6000,193.4500,78.6135,61272,0.0000
2009-10-30,211.0000,217.0000,189.0000,191.8500,77.9633,61008,0.0000
2009-10-23,221.0000,233.9000,210.0000,210.9000,85.7048,131202,0.0000
2009-10-16,219.9000,224.8000,210.0000,215.9000,87.7367,160278,0.0000
2009-10-09,212.5000,222.0000,203.0000,215.9000,87.7367,183916,0.0000
2009-10-01,224.0000,229.0000,215.0000,216.9000,88.1430,65890,0.0000
2009-09-25,228.5500,236.9000,209.0000,225.2000,91.5160,371542,0.0000
2009-09-18,193.0000,232.7500,190.0000,224.1500,91.0893,451792,0.0000
2009-09-11,205.8000,219.7500,192.5000,193.8000,78.7557,109456,0.0000
2009-09-04,206.2000,218.9000,194.0000,202.5000,82.2912,167152,0.0000
2009-08-28,184.5000,231.8000,174.0000,210.4000,85.5016,368742,0.0000
2009-08-21,178.0000,184.0000,171.1000,173.0500,70.3234,24172,0.0000
2009-08-14,191.6500,191.6500,161.3500,183.9000,74.7326,58382,0.0000
2009-08-07,174.7000,182.0000,168.2000,169.0000,68.6776,45870,0.0000
2009-07-31,185.0000,193.0000,175.1000,176.5000,71.7254,63420,0.0000
2009-07-24,180.0000,191.4000,175.0000,182.5000,74.1637,56054,2.0000
2009-07-17,160.0000,184.0000,151.2000,177.1000,70.3438,93066,0.0000
2009-07-10,183.0000,192.0000,158.0000,161.6000,64.1872,76978,0.0000
2009-07-03,191.7000,210.0000,177.5000,186.7500,74.1767,87714,0.0000
2009-06-26,171.1000,208.0500,160.0000,193.6500,76.9174,91642,0.0000
2009-06-19,192.0000,195.0000,159.0000,168.3000,66.8484,63378,0.0000
2009-06-12,220.0000,222.0000,192.5000,193.4000,76.8181,90540,0.0000
2009-06-05,221.0000,238.6000,202.0000,223.0500,88.5950,147744,0.0000
2009-05-29,192.0000,232.0000,190.0000,217.0500,86.2118,210736,0.0000
2009-05-22,150.0000,203.6000,140.0000,188.6000,74.9115,226374,0.0000
2009-05-15,120.1500,144.8000,119.5000,134.4000,53.3834,146210,0.0000
2009-05-08,121.5500,129.5000,118.1000,119.0000,47.2666,48906,0.0000
2009-04-29,122.8000,136.8000,117.1000,122.0500,48.4780,50248,0.0000
2009-04-24,118.1000,124.0000,113.7000,118.3000,46.9885,27400,0.0000
2009-04-17,125.9500,139.5000,115.1000,117.9000,46.8296,126088,0.0000
2009-04-09,98.0000,135.5000,92.2000,121.5000,48.2595,263676,0.0000
2009-04-02,92.0000,97.9000,85.5500,94.7500,37.6345,83672,0.0000
2009-03-27,88.5000,94.9000,86.0000,89.4500,35.5294,44058,0.0000
